1428417009 CNTR,10.0.13.14,17,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417009 CNTR,10.0.13.4,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417009 CNTR,10.0.13.14,9,6,1000000000,1,3,460,0,6,0,0,0,0,14322149171,326411,46358604,1433143,0,0,0
1428417009 CNTR,10.0.13.10,7,6,1000000000,1,3,3345580813800,1791313159,7291712,150702,0,0,0,5479863438408,2101027473,1553101971,46511663,0,0,0
1428417010 CNTR,10.0.13.4,15,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417010 CNTR,10.0.13.10,9,6,1000000000,1,3,4630700367,27598336,674567,1676,0,0,0,28077117912,30270453,68210885,2050026,0,0,0
1428417010 CNTR,10.0.13.5,20,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417010 CNTR,10.0.13.10,24,6,1000000000,1,3,1180180288,6498242,1370060,112953,0,0,0,451155802122,14180303,1467759582,45251215,0,0,0
1428417010 CNTR,10.0.13.4,11,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417010 CNTR,10.0.13.10,11,6,1000000000,1,3,5718454260822,362437634,0,1139,0,0,0,17932710975718,1381714579,797074943,27818548,0,0,0
1428417010 CNTR,10.0.13.4,23,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417010 CNTR,10.0.13.9,4,6,1000000000,1,3,46838,1,60,71,0,0,0,14611085032,907449,46297653,1432072,0,0,0
1428417010 CNTR,10.0.13.9,6,6,1000000000,1,3,0,0,0,0,0,0,0,14652692176,927730,46344341,1433836,0,0,0
1428417011 CNTR,10.0.13.5,3,6,1000000000,1,3,138206501,1290517,8632,58757,0,0,0,381675455741,12699608,1124533199,32651289,0,0,0
1428417011 CNTR,10.0.13.2,21,6,1000000000,1,3,301656457909457,146544948,2249060978,87654769,0,6,0,281261157245668,507050481,67756608,8629305,0,0,0
1428417011 CNTR,10.0.13.2,14,6,100000000,1,1,0,0,0,0,0,0,0,566456728528,40179191,1740579169,66442015,0,0,0
1428417011 CNTR,10.0.13.4,9,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417011 CNTR,10.0.13.2,7,6,1000000000,1,3,12817897102632,318313800,40404383,132728,0,0,0,42944558857283,2912263848,2087736363,85196775,0,0,0
1428417011 CNTR,10.0.13.15,9,6,1000000000,1,3,6451252946790,3580217514,8898410,51980,0,0,0,5717105097353,3128059989,61811942,2460319,0,0,0
1428417011 CNTR,10.0.13.4,5,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417011 CNTR,10.0.13.4,24,6,1000000000,1,3,86353605387,99935254,45442,25362,0,0,0,182973428511,143011946,47029558,1507762,0,0,0
1428417012 CNTR,10.0.13.2,19,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417012 CNTR,10.0.13.10,5,6,1000000000,1,3,0,0,0,0,0,0,0,60159991585,5170223,182326541,6372952,0,0,0
1428417012 CNTR,10.0.13.9,18,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417012 CNTR,10.0.13.10,20,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417012 CNTR,10.0.13.14,7,6,1000000000,1,3,0,0,0,0,0,0,0,14340445191,341029,46380753,1434173,0,0,0
1428417012 CNTR,10.0.13.15,7,6,1000000000,1,3,3549122504273,3730740570,6,5009,0,0,0,4807905402109,4068660771,70731527,2514364,0,0,0
1428417012 CNTR,10.0.13.4,22,6,1000000000,1,3,6417736945,232221,18262830,615429,0,0,0,44210685,49746,28491,3,0,0,0
1428417012 CNTR,10.0.13.9,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417012 CNTR,10.0.13.14,15,6,100000000,1,3,0,0,0,0,0,0,0,14141548311,284318,46167833,1433845,0,0,0
1428417012 CNTR,10.0.13.14,5,6,1000000000,1,3,0,0,0,0,0,0,0,14331072639,332002,46374467,1433867,0,0,0
1428417012 CNTR,10.0.13.9,20,6,1000000000,1,3,16871175716,3234758,46850772,1515653,0,0,0,53028389,65537,47234,712,0,0,0
1428417012 CNTR,10.0.13.9,14,6,1000000000,1,3,0,0,0,0,0,0,0,14624556925,907751,46343619,1433799,0,0,0
1428417012 CNTR,10.0.13.9,12,6,1000000000,1,3,0,0,0,0,0,0,0,14649788372,925343,46343995,1433817,0,0,0
1428417012 CNTR,10.0.13.14,3,6,1000000000,1,3,0,0,0,0,0,0,0,14355571920,352037,46393709,1434818,0,0,0
1428417012 CNTR,10.0.13.2,12,6,100000000,1,1,602451,8453,0,31,0,0,0,566227824846,40021255,1740428645,66433974,0,0,0
1428417012 CNTR,10.0.13.14,21,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417013 CNTR,10.0.13.5,2,6,1000000000,1,1,8740266457106,1794632276,7,2155,0,0,0,1081732492322,3332710199,1305484704,40574614,0,0,0
1428417013 CNTR,10.0.13.9,16,6,1000000000,1,3,0,0,0,0,0,0,0,14624102083,906646,46342894,1433776,0,0,0
1428417013 CNTR,10.0.13.15,22,6,1000000000,1,3,23697546108893,2082481362,9365588,931425,0,0,0,10718279398677,1113938395,61813308,1700354,0,0,0
1428417013 CNTR,10.0.13.4,19,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1428417013 CNTR,10.0.13.10,1,6,1000000000,1,3,2442788383978,3426212050,6732286,158062,0,0,0,3175358482970,3490957428,1553648739,46502850,0,0,0
1428417013 CNTR,10.0.13.14,2,6,1000000000,1,3,0,0,0,0,0,0,0,14318537175,324189,46350576,1432685,0,0,0
1428417013 CNTR,10.0.13.9,10,6,1000000000,1,3,0,0,0,0,0,0,0,14651228450,926429,46344169,1433827,0,0,0
1428417013 CNTR,10.0.13.2,23,6,1000000000,1,1,12186772631425,287168589,9555881,686310,0,0,0,26150868037027,1494674254,1529603589,46997835,0,0,0
